"","3MIN","7.5MIN","15MIN","30MIN","60MIN","110MIN","2.5H","5H","0MIN"
"YAL001C",-0.68660089,-0.63439928,-0.58910103,-0.81159908,-0.73300123,-0.66120023,-0.67789879,-0.6424007,0
"YAL002W",0.068602027,0.073395244,-0.032499353,-0.030399679,-0.22139947,-0.20260014,-0.26959915,-0.22130023,0
"YAL003W",2.1573995,1.8105007,2.2915004,1.6112999,2.1882996,2.4074996,2.5598001,2.501299,0
"YAL004W",0.5099998,0.47299717,0.62089603,0.89830124,0.93579917,1.0246034,0.97499912,0.94520315,0
"YAL005C",-0.78490046,-0.91150015,-2.1169986,-2.1575988,-1.1784008,0.71579675,0.70380061,0.97100086,0
"YAL007C",-0.027499963,0.082893301,0.26459648,0.80549883,2.2574995,2.1795015,2.2590012,2.1335997,0
"YAL008W",-0.89980007,-1.2720012,-1.1653988,-1.1518011,-1.5637017,-1.2068016,-1.3485005,-1.0022986,0
"YAL009W",-0.060299499,-0.016100538,0.089294749,0.26009794,0.25350526,0.51649933,0.44060144,0.57740224,0
"YAL010C",-0.008200458,0.18510536,0.40299498,0.58000073,1.0161968,1.1597002,1.1307003,1.1907981,0
"YAL011W",0.034497464,-0.00780006,-0.061700656,-0.044099524,-0.1784008,-0.20739948,-0.13870045,-0.18219995,0
"YAL012W",2.6046004,2.5280011,2.4445001,1.7535018,1.5533998,1.8235986,1.9113004,1.6236,0
"YAL013W",0.039503409,0.52679999,0.53239676,0.46109893,-0.019499365,-0.026400479,-0.22609986,-0.25390054,0
"YAL014C",0.24109577,0.1479058,0.1349963,0.14649882,0.12890045,0.24579987,0.21489569,0.17730551,0
"YAL015C",0.62869895,0.9595031,0.87519815,0.42499731,0.32820457,0.35589583,0.38059648,0.49499923,0
"YAL016W",-1.403,-1.3930007,-1.1003015,-1.0799995,-0.85069901,-0.39009945,-0.48320016,-0.39380037,0
"YAL017W",-1.763298,-2.1608982,-1.9554016,-2.6876043,-2.9317007,-1.9895009,-1.9888021,-1.9920008,0
"YAL018C",-0.078300139,-0.091600558,-0.043100287,-0.10179939,-0.011900689,-0.031199967,0.005198751,-0.037100109,0
"YAL019W",0.84830144,1.0271965,0.7883015,0.77380227,0.5051999,0.038703063,0.10980183,0.16599552,0
"YAL020C",0.091097246,0.39850361,0.31879694,0.15990039,0.20700573,0.043498496,-0.025400206,-0.074899888,0
"YAL021C",0.39589636,0.73199996,0.65900203,1.0172022,0.96609818,0.99659845,0.70749829,0.84110362,0
"YAL022C",0.046099863,0.032199606,0.17840233,0.11549941,-0.084399557,0.049798027,0.050703678,0.053903732,0
"YAL023C",1.1150998,1.4026021,1.5420995,2.0693,2.1371986,1.9870006,1.9593992,1.9241987,0
"YAL024C",1.062101,1.251501,1.3288996,1.518802,1.7972994,1.3751006,1.4424021,1.1952972,0
"YAL025C",0.94179744,0.99899698,0.875497,0.84930276,0.6211024,0.10350435,0.12900599,0.18050435,0
"YAL026C",0.67419848,0.7446003,0.81819613,0.91869917,1.2775028,1.4007019,1.4291017,1.4042982,0
"YAL027W",-0.24589925,-0.13509955,-0.090600144,0.14039912,0.092099164,0.40650402,0.3478017,0.6544997,0
"YAL028W",-1.0486987,-1.1848017,-1.1111995,-1.0943996,-1.3746996,-1.0851998,-1.3005017,-0.8474012,0
"YAL029C",1.0020976,0.84919865,1.0987968,1.3441013,1.3548978,1.4202991,1.4039003,1.2910023,0
"YAL030W",-0.5548009,-0.70719941,-0.68720009,-1.2214987,-1.2045988,-0.64890091,-0.81820029,-0.47150069,0
"YAL031C",-0.72479981,-0.56410049,-0.49169914,-0.56449941,-0.71340032,-0.47809898,-0.50820025,-0.467699,0
"YAL032C",-0.066499876,-0.15339998,-0.22999982,-0.15909934,-0.30169972,-0.39719919,-0.24530059,-0.31670059,0
"YAL033W",0.60939566,0.39219651,0.50889511,0.85230253,1.2796971,1.1333005,1.3454986,1.2431024,0
"YAL034C",-1.3275004,-1.3023009,-1.4564012,-1.536001,-1.5869996,-1.6627022,-1.817801,-1.8971995,0
"YAL034W-A",0.15280645,0.17439363,0.13330048,0.23669466,0.43630045,0.42529816,0.52890133,0.47290362,0
"YAL034C-B",0.09369538,0.078596173,0.12859696,0.21070056,0.17490492,0.30989794,0.23370403,0.31469653,0
"YAL035W",1.1515991,1.4044999,1.431901,1.2878978,0.94819714,0.99250017,0.91910359,0.98450186,0
"YAL036C",1.0989989,1.0583996,1.0791972,1.279602,1.0946009,0.8919013,0.99940116,0.92920017,0
"YAL037W",-0.71209987,-0.71179974,-0.81439982,-0.71119969,-0.36439975,-0.5772008,-0.57620027,-0.56150061,0
"YAL038W",-0.27570073,-0.21820052,0.6175994,1.2381999,1.5979983,2.2118003,2.1148001,2.1231,0
"YAL039C",-0.099599566,-0.10399947,-0.03729996,-0.11090032,-0.97549875,-1.4049012,-1.4862991,-1.5371017,0
"YAL040C",0.46230366,0.5867023,0.68530329,0.76760395,0.42000264,0.10269844,-0.089800006,0.10019724,0
"YAL041W",0.17999505,0.26920075,0.36039799,0.23989902,0.070801468,0.2810988,0.16810285,0.25329951,0
"YAL042W",0.4981998,0.62670078,0.67829731,0.87889794,1.0752999,1.2624031,1.1768015,1.0415023,0
"YAL043C",0.57229792,0.65829833,0.58540486,0.51580327,0.39219651,0.51919968,0.49399567,0.42950349,0
"YAL042C-A",-0.11030063,-0.06799932,-0.069700173,-0.1550006,-0.13419993,-0.15220028,-0.1782,-0.17949995,0
"YAL044C",0.27629417,0.48630248,0.5307999,0.40619922,0.12789736,1.1698994,1.1590995,1.0925999,0
"YAL044W-A",-0.29139955,-0.37309927,-0.1498999,-0.38259995,-0.47050085,-0.61960079,-0.59930032,-0.65200106,0
