"Q0010"	""	"ORF6"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"Q0017"	""	"ORF7"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"Q0032"	""	"ORF8"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"Q0045"	"COX1"	"cytochrome"	"c"	"oxidase"	"subunit"	"1"	"OXI3"	""	""	""	""	""	""	""	""	""
"Q0050"	"AI1"	"intron-encoded"	"reverse"	"transcriptase"	"aI1"	""	""	""	""	""	""	""	""	""	""	""
"Q0055"	"AI2"	"intron-encoded"	"reverse"	"transcriptase"	"aI2"	""	""	""	""	""	""	""	""	""	""	""
"Q0060"	"AI3"	"intron-encoded"	"DNA"	"endonuclease"	"aI3"	"I-SceIII"	""	""	""	""	""	""	""	""	""	""
"Q0065"	"AI4"	"intron-encoded"	"DNA"	"endonuclease"	"aI4"	"I-SceII"	""	""	""	""	""	""	""	""	""	""
"Q0070"	"AI5_ALPHA"	"intron-encoded"	"DNA"	"endonuclease"	"aI5"	"alpha"	""	""	""	""	""	""	""	""	""	""
"Q0075"	"AI5_BETA"	"intron-encoded"	"DNA"	"endonuclease"	"aI5"	"beta"	""	""	""	""	""	""	""	""	""	""
"Q0080"	"ATP8"	"AAP1"	"F1F0"	"ATP"	"synthase"	"subunit"	"8"	""	""	""	""	""	""	""	""	""
"Q0085"	"ATP6"	"F1F0"	"ATP"	"synthase"	"subunit"	"a"	"OLI2"	"OLI4"	"PHO1"	""	""	""	""	""	""	""
"Q0092"	""	"ORF5"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"Q0105"	"COB"	"COB1"	"CYTB"	"cytochrome"	"b"	""	""	""	""	""	""	""	""	""	""	""
"Q0110"	"BI2"	"cytochrome"	"b"	"mRNA"	"maturase"	"bI2"	""	""	""	""	""	""	""	""	""	""
"Q0115"	"BI3"	"cytochrome"	"b"	"mRNA"	"maturase"	"bI3"	""	""	""	""	""	""	""	""	""	""
"Q0120"	"BI4"	"intron-encoded"	"RNA"	"maturase"	"bI4"	""	""	""	""	""	""	""	""	""	""	""
"Q0130"	"OLI1"	"ATP9"	"F0"	"ATP"	"synthase"	"subunit"	"c"	"OLI3"	""	""	""	""	""	""	""	""
"Q0140"	"VAR1"	"mitochondrial"	"37S"	"ribosomal"	"protein"	"VAR1"	"uS3m"	"VARI"	""	""	""	""	""	""	""	""
"Q0142"	""	"ORF9"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
